ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
51,1.04e-08,0.341732,68921,1e+08,-2.16086e-19,-2.16086e-19,-2.16086e-19,2.83815e-18,9261,1.25e+07,2.52956e-19,2.52956e-19,2.52956e-19,8.96222e-15,8.95939e-12,8.96836e-12
52,1.06e-08,0.346917,68921,1e+08,-2.20315e-19,-2.20315e-19,-2.20315e-19,2.95045e-18,9261,1.25e+07,2.57906e-19,2.57906e-19,2.57906e-19,9.31633e-15,8.95904e-12,8.96836e-12
53,1.08e-08,0.352139,68921,1e+08,-2.24544e-19,-2.24544e-19,-2.24544e-19,3.06492e-18,9261,1.25e+07,2.62856e-19,2.62856e-19,2.62856e-19,9.67725e-15,8.95868e-12,8.96836e-12
54,1.1e-08,0.357337,68921,1e+08,-2.28772e-19,-2.28772e-19,-2.28772e-19,3.18157e-18,9261,1.25e+07,2.67805e-19,2.67805e-19,2.67805e-19,1.0045e-14,8.95831e-12,8.96836e-12
55,1.12e-08,0.362536,68921,1e+08,-2.33e-19,-2.33e-19,-2.33e-19,3.30038e-18,9261,1.25e+07,2.72754e-19,2.72754e-19,2.72754e-19,1.04195e-14,8.95794e-12,8.96836e-12
56,1.14e-08,0.367734,68921,1e+08,-2.37227e-19,-2.37227e-19,-2.37227e-19,3.42137e-18,9261,1.25e+07,2.77702e-19,2.77702e-19,2.77702e-19,1.08009e-14,8.95756e-12,8.96837e-12
57,1.16e-08,0.372899,68921,1e+08,-2.41454e-19,-2.41454e-19,-2.41454e-19,3.54453e-18,9261,1.25e+07,2.82649e-19,2.82649e-19,2.82649e-19,1.1189e-14,8.95718e-12,8.96837e-12
58,1.18e-08,0.378127,68921,1e+08,-2.4568e-19,-2.4568e-19,-2.4568e-19,3.66986e-18,9261,1.25e+07,2.87596e-19,2.87596e-19,2.87596e-19,1.1584e-14,8.95678e-12,8.96837e-12
59,1.2e-08,0.383385,68921,1e+08,-2.49905e-19,-2.49905e-19,-2.49905e-19,3.79737e-18,9261,1.25e+07,2.92542e-19,2.92542e-19,2.92542e-19,1.19857e-14,8.95638e-12,8.96837e-12
60,1.22e-08,0.388554,68921,1e+08,-2.54131e-19,-2.54131e-19,-2.54131e-19,3.92704e-18,9261,1.25e+07,2.97488e-19,2.97488e-19,2.97488e-19,1.23942e-14,8.95598e-12,8.96837e-12
61,1.24e-08,0.39377,68921,1e+08,-2.58355e-19,-2.58355e-19,-2.58355e-19,4.05888e-18,9261,1.25e+07,3.02433e-19,3.02433e-19,3.02433e-19,1.28095e-14,8.95556e-12,8.96838e-12
62,1.26e-08,0.398972,68921,1e+08,-2.62579e-19,-2.62579e-19,-2.62579e-19,4.19289e-18,9261,1.25e+07,3.07377e-19,3.07377e-19,3.07377e-19,1.32316e-14,8.95514e-12,8.96838e-12
63,1.28e-08,0.404182,68921,1e+08,-2.66803e-19,-2.66803e-19,-2.66803e-19,4.32907e-18,9261,1.25e+07,3.1232e-19,3.1232e-19,3.1232e-19,1.36604e-14,8.95472e-12,8.96838e-12
64,1.3e-08,0.409753,68921,1e+08,-2.71026e-19,-2.71026e-19,-2.71026e-19,4.46742e-18,9261,1.25e+07,3.17263e-19,3.17263e-19,3.17263e-19,1.40961e-14,8.95428e-12,8.96838e-12
65,1.32e-08,0.414986,68921,1e+08,-2.75248e-19,-2.75248e-19,-2.75248e-19,4.60794e-18,9261,1.25e+07,3.22205e-19,3.22205e-19,3.22205e-19,1.45384e-14,8.95384e-12,8.96839e-12
66,1.34e-08,0.42016,68921,1e+08,-2.7947e-19,-2.7947e-19,-2.7947e-19,4.75062e-18,9261,1.25e+07,3.27147e-19,3.27147e-19,3.27147e-19,1.49876e-14,8.9534e-12,8.96839e-12
67,1.36e-08,0.425394,68921,1e+08,-2.83691e-19,-2.83691e-19,-2.83691e-19,4.89547e-18,9261,1.25e+07,3.32088e-19,3.32088e-19,3.32088e-19,1.54435e-14,8.95294e-12,8.96839e-12
68,1.38e-08,0.430704,68921,1e+08,-2.87912e-19,-2.87912e-19,-2.87912e-19,5.04248e-18,9261,1.25e+07,3.37028e-19,3.37028e-19,3.37028e-19,1.59062e-14,8.95248e-12,8.9684e-12
69,1.4e-08,0.436316,68921,1e+08,-2.92132e-19,-2.92132e-19,-2.92132e-19,5.19167e-18,9261,1.25e+07,3.41967e-19,3.41967e-19,3.41967e-19,1.63756e-14,8.95202e-12,8.9684e-12
70,1.42e-08,0.441991,68921,1e+08,-2.96351e-19,-2.96351e-19,-2.96351e-19,5.34301e-18,9261,1.25e+07,3.46905e-19,3.46905e-19,3.46905e-19,1.68517e-14,8.95154e-12,8.9684e-12
71,1.44e-08,0.447416,68921,1e+08,-3.0057e-19,-3.0057e-19,-3.0057e-19,5.49652e-18,9261,1.25e+07,3.51843e-19,3.51843e-19,3.51843e-19,1.73346e-14,8.95106e-12,8.9684e-12
72,1.46e-08,0.452587,68921,1e+08,-3.04788e-19,-3.04788e-19,-3.04788e-19,5.6522e-18,9261,1.25e+07,3.5678e-19,3.5678e-19,3.5678e-19,1.78242e-14,8.95058e-12,8.96841e-12
73,1.48e-08,0.458288,68921,1e+08,-3.09006e-19,-3.09006e-19,-3.09006e-19,5.81004e-18,9261,1.25e+07,3.61716e-19,3.61716e-19,3.61716e-19,1.83206e-14,8.95008e-12,8.96841e-12
74,1.5e-08,0.463957,68921,1e+08,-3.13223e-19,-3.13223e-19,-3.13223e-19,5.97004e-18,9261,1.25e+07,3.66652e-19,3.66652e-19,3.66652e-19,1.88236e-14,8.94958e-12,8.96841e-12
75,1.52e-08,0.469898,68921,1e+08,-3.17439e-19,-3.17439e-19,-3.17439e-19,6.1322e-18,9261,1.25e+07,3.71586e-19,3.71586e-19,3.71586e-19,1.93334e-14,8.94907e-12,8.96841e-12
76,1.54e-08,0.475614,68921,1e+08,-3.21655e-19,-3.21655e-19,-3.21655e-19,6.29652e-18,9261,1.25e+07,3.7652e-19,3.7652e-19,3.7652e-19,1.98499e-14,8.94856e-12,8.96842e-12
77,1.56e-08,0.481275,68921,1e+08,-3.2587e-19,-3.2587e-19,-3.25869e-19,6.46301e-18,9261,1.25e+07,3.81453e-19,3.81453e-19,3.81453e-19,2.03732e-14,8.94804e-12,8.96842e-12
78,1.58e-08,0.487003,68921,1e+08,-3.30084e-19,-3.30084e-19,-3.30084e-19,6.63166e-18,9261,1.25e+07,3.86385e-19,3.86385e-19,3.86385e-19,2.09031e-14,8.94751e-12,8.96842e-12
79,1.6e-08,0.492739,68921,1e+08,-3.34297e-19,-3.34297e-19,-3.34297e-19,6.80246e-18,9261,1.25e+07,3.91317e-19,3.91317e-19,3.91317e-19,2.14397e-14,8.94698e-12,8.96843e-12
80,1.62e-08,0.498413,68921,1e+08,-3.3851e-19,-3.3851e-19,-3.3851e-19,6.97543e-18,9261,1.25e+07,3.96247e-19,3.96247e-19,3.96247e-19,2.1983e-14,8.94644e-12,8.96843e-12
81,1.64e-08,0.504153,68921,1e+08,-3.42722e-19,-3.42722e-19,-3.42722e-19,7.15055e-18,9261,1.25e+07,4.01177e-19,4.01177e-19,4.01177e-19,2.2533e-14,8.9459e-12,8.96844e-12
82,1.66e-08,0.509833,68921,1e+08,-3.46933e-19,-3.46933e-19,-3.46933e-19,7.32783e-18,9261,1.25e+07,4.06106e-19,4.06106e-19,4.06106e-19,2.30897e-14,8.94534e-12,8.96844e-12
83,1.68e-08,0.51549,68921,1e+08,-3.51144e-19,-3.51144e-19,-3.51144e-19,7.50727e-18,9261,1.25e+07,4.11033e-19,4.11033e-19,4.11033e-19,2.3653e-14,8.94478e-12,8.96844e-12
84,1.7e-08,0.521217,68921,1e+08,-3.55354e-19,-3.55354e-19,-3.55354e-19,7.68886e-18,9261,1.25e+07,4.1596e-19,4.1596e-19,4.1596e-19,2.4223e-14,8.94422e-12,8.96845e-12
85,1.72e-08,0.526853,68921,1e+08,-3.59563e-19,-3.59563e-19,-3.59563e-19,7.87261e-18,9261,1.25e+07,4.20886e-19,4.20886e-19,4.20886e-19,2.47997e-14,8.94364e-12,8.96845e-12
86,1.74e-08,0.532863,68921,1e+08,-3.63772e-19,-3.63772e-19,-3.63771e-19,8.05852e-18,9261,1.25e+07,4.25811e-19,4.25811e-19,4.25811e-19,2.53831e-14,8.94306e-12,8.96845e-12
87,1.76e-08,0.538536,68921,1e+08,-3.67979e-19,-3.67979e-19,-3.67979e-19,8.24658e-18,9261,1.25e+07,4.30736e-19,4.30736e-19,4.30736e-19,2.59731e-14,8.94248e-12,8.96846e-12
88,1.78e-08,0.544194,68921,1e+08,-3.72186e-19,-3.72186e-19,-3.72186e-19,8.43679e-18,9261,1.25e+07,4.35659e-19,4.35659e-19,4.35659e-19,2.65697e-14,8.94188e-12,8.96846e-12
89,1.8e-08,0.550282,68921,1e+08,-3.76392e-19,-3.76392e-19,-3.76392e-19,8.62916e-18,9261,1.25e+07,4.40581e-19,4.40581e-19,4.40581e-19,2.7173e-14,8.94128e-12,8.96847e-12
90,1.82e-08,0.555984,68921,1e+08,-3.80597e-19,-3.80597e-19,-3.80597e-19,8.82368e-18,9261,1.25e+07,4.45502e-19,4.45502e-19,4.45502e-19,2.77829e-14,8.94068e-12,8.96847e-12
91,1.84e-08,0.561684,68921,1e+08,-3.84802e-19,-3.84802e-19,-3.84802e-19,9.02035e-18,9261,1.25e+07,4.50423e-19,4.50423e-19,4.50423e-19,2.83994e-14,8.94006e-12,8.96847e-12
92,1.86e-08,0.567379,68921,1e+08,-3.89005e-19,-3.89005e-19,-3.89005e-19,9.21917e-18,9261,1.25e+07,4.55342e-19,4.55342e-19,4.55342e-19,2.90226e-14,8.93945e-12,8.96848e-12
93,1.88e-08,0.573043,68921,1e+08,-3.93208e-19,-3.93208e-19,-3.93208e-19,9.42014e-18,9261,1.25e+07,4.6026e-19,4.6026e-19,4.6026e-19,2.96524e-14,8.93882e-12,8.96848e-12
94,1.9e-08,0.578832,68921,1e+08,-3.9741e-19,-3.9741e-19,-3.9741e-19,9.62327e-18,9261,1.25e+07,4.65177e-19,4.65177e-19,4.65177e-19,3.02888e-14,8.93819e-12,8.96849e-12
95,1.92e-08,0.584713,68921,1e+08,-4.01611e-19,-4.01611e-19,-4.01611e-19,9.82854e-18,9261,1.25e+07,4.70094e-19,4.70094e-19,4.70094e-19,3.09318e-14,8.93755e-12,8.96849e-12
96,1.94e-08,0.590426,68921,1e+08,-4.05812e-19,-4.05812e-19,-4.05811e-19,1.0036e-17,9261,1.25e+07,4.75009e-19,4.75009e-19,4.75009e-19,3.15813e-14,8.9369e-12,8.96849e-12
97,1.96e-08,0.596125,68921,1e+08,-4.10011e-19,-4.10011e-19,-4.10011e-19,1.02455e-17,9261,1.25e+07,4.79923e-19,4.79923e-19,4.79923e-19,3.22375e-14,8.93625e-12,8.9685e-12
98,1.98e-08,0.601797,68921,1e+08,-4.1421e-19,-4.1421e-19,-4.14209e-19,1.04572e-17,9261,1.25e+07,4.84836e-19,4.84836e-19,4.84836e-19,3.29003e-14,8.93559e-12,8.9685e-12
99,2e-08,0.607494,68921,1e+08,-4.18407e-19,-4.18407e-19,-4.18407e-19,1.06711e-17,9261,1.25e+07,4.89748e-19,4.89748e-19,4.89748e-19,3.35696e-14,8.93493e-12,8.96851e-12
100,2.02e-08,0.613588,68921,1e+08,-4.22604e-19,-4.22604e-19,-4.22604e-19,1.08871e-17,9261,1.25e+07,4.94659e-19,4.94659e-19,4.94659e-19,3.42455e-14,8.93425e-12,8.96851e-12
101,2.04e-08,0.653511,68921,1e+08,-4.268e-19,-4.268e-19,-4.268e-19,1.11052e-17,9261,1.25e+07,4.99569e-19,4.99569e-19,4.99569e-19,3.4928e-14,8.93358e-12,8.96851e-12
102,2.06e-08,0.660399,68921,1e+08,-4.30995e-19,-4.30995e-19,-4.30995e-19,1.13255e-17,9261,1.25e+07,5.04478e-19,5.04478e-19,5.04478e-19,3.5617e-14,8.93289e-12,8.96852e-12
103,2.08e-08,0.666322,68921,1e+08,-4.35189e-19,-4.35189e-19,-4.35189e-19,1.1548e-17,9261,1.25e+07,5.09385e-19,5.09385e-19,5.09385e-19,3.63126e-14,8.9322e-12,8.96852e-12
104,2.1e-08,0.672314,68921,1e+08,-4.39382e-19,-4.39382e-19,-4.39382e-19,1.17725e-17,9261,1.25e+07,5.14292e-19,5.14292e-19,5.14292e-19,3.70147e-14,8.9315e-12,8.96853e-12
105,2.12e-08,0.678112,68921,1e+08,-4.43574e-19,-4.43574e-19,-4.43574e-19,1.19992e-17,9261,1.25e+07,5.19197e-19,5.19197e-19,5.19197e-19,3.77233e-14,8.9308e-12,8.96853e-12
106,2.14e-08,0.683916,68921,1e+08,-4.47766e-19,-4.47766e-19,-4.47765e-19,1.22281e-17,9261,1.25e+07,5.24102e-19,5.24102e-19,5.24102e-19,3.84385e-14,8.93008e-12,8.96854e-12
107,2.16e-08,0.689742,68921,1e+08,-4.51956e-19,-4.51956e-19,-4.51956e-19,1.24591e-17,9261,1.25e+07,5.29005e-19,5.29005e-19,5.29005e-19,3.91602e-14,8.92937e-12,8.96854e-12
108,2.18e-08,0.695498,68921,1e+08,-4.56145e-19,-4.56145e-19,-4.56145e-19,1.26922e-17,9261,1.25e+07,5.33907e-19,5.33907e-19,5.33907e-19,3.98884e-14,8.92864e-12,8.96854e-12
109,2.2e-08,0.701296,68921,1e+08,-4.60334e-19,-4.60334e-19,-4.60333e-19,1.29275e-17,9261,1.25e+07,5.38807e-19,5.38807e-19,5.38807e-19,4.06231e-14,8.92791e-12,8.96855e-12
110,2.22e-08,0.707103,68921,1e+08,-4.64521e-19,-4.64521e-19,-4.64521e-19,1.31649e-17,9261,1.25e+07,5.43707e-19,5.43707e-19,5.43707e-19,4.13643e-14,8.92717e-12,8.96855e-12
111,2.24e-08,0.712837,68921,1e+08,-4.68707e-19,-4.68707e-19,-4.68707e-19,1.34044e-17,9261,1.25e+07,5.48605e-19,5.48605e-19,5.48605e-19,4.2112e-14,8.92643e-12,8.96856e-12
